example_id,gold_intent,query,rank,similarity,historical_case_id,historical_customer_message,historical_amazon_response
3,package_not_received,".@115821 delivers package, tracking says it was received by me.

But I've been at work this entire time.

Next 3 hours: anxiety attack.",1,0.7800429463386536,2316614,@115850 I have received package delivered notification but yet no package is received by me. Tracking # 216265638418,"@671684 Apologies for the incorrect tracking update. Have you reported this to our support team here: https://t.co/rS49hgaADF? Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^VH"
3,package_not_received,".@115821 delivers package, tracking says it was received by me.

But I've been at work this entire time.

Next 3 hours: anxiety attack.",2,0.7670814990997314,1908914,@115821  never got my package even though it said it was delivered??? https://t.co/9LihnJ7pBs,@568670 Oh no! So sorry. Missing packages usually show up within 24 hours- we also have some tips here: https://t.co/KX1hFdOQbI ^BL
3,package_not_received,".@115821 delivers package, tracking says it was received by me.

But I've been at work this entire time.

Next 3 hours: anxiety attack.",3,0.7666945457458496,1768235,"Two poor experiences from @115821 ! First had the most bs email from customer service, now my package hasn’t arrived&amp;no more tracking info!",@531651 I'm sorry for the frustration! What information were you provided when you contacted us? ^AC
3,package_not_received,".@115821 delivers package, tracking says it was received by me.

But I've been at work this entire time.

Next 3 hours: anxiety attack.",4,0.7594344615936279,250568,@115821 I had a package that supposedly was delivered today and sign by me? But  i never receive the package wth so who lying?,@175555 I'm sorry for this issue with your order. Who was the carrier listed for this order? Please check using this link: https://t.co/Y5jpI9gRhE ^DO
3,package_not_received,".@115821 delivers package, tracking says it was received by me.

But I've been at work this entire time.

Next 3 hours: anxiety attack.",5,0.7561026811599731,1725378,@115850 I don't understand what is going on here. Nobody at my place received the package. Yet it says delivery completed. https://t.co/nHiKFIAbu1,@521830 Apologies for the hassle. Please report this to our team here: https://t.co/rS49hgaADF so that we can do the needful.^RI
4,return_refund,"@115850  Ordered a WD external hdd 2TB which was on 50% discount on the MRP of 11,400.
But received product's MRP is 8,810. This is how Amazon Business model works i guess. And yeah thanks to it's customer care they asked me to return instead of accepting their mistake https://t.co/4XEqDm48Ch",1,0.6324581503868103,2279724,@AmazonHelp I purchased 1 tb external HDD for 2999 and it was confirmed and later on it was cancelled,"@662769 I apologize for the Inconvenience, Atul. Usually, the canceled orders are followed by an email with a reason in it. Request you to check. ^NK"
4,return_refund,"@115850  Ordered a WD external hdd 2TB which was on 50% discount on the MRP of 11,400.
But received product's MRP is 8,810. This is how Amazon Business model works i guess. And yeah thanks to it's customer care they asked me to return instead of accepting their mistake https://t.co/4XEqDm48Ch",2,0.6187180280685425,2265569,"@AmazonHelp @115850 see attached image, which exposes your lies on the price and discount your claim to provide, when the MRP is 9900.#amazoncheats https://t.co/NELrBT60TK","@659469 Pricing and offers are decision of the sellers. The constantly changing marketplace and our efforts to offer you the lowest price, may result in fluctuations in our prices over time. ^SU"
4,return_refund,"@115850  Ordered a WD external hdd 2TB which was on 50% discount on the MRP of 11,400.
But received product's MRP is 8,810. This is how Amazon Business model works i guess. And yeah thanks to it's customer care they asked me to return instead of accepting their mistake https://t.co/4XEqDm48Ch",3,0.6135600209236145,348536,"@115850 awful service, bluff,fraud, shows price of item as Rs11700 whose actual MRP is RS3995. Totally unbelievable  and discussing.",@198967 WE apologize for this. Please contact us here: https://t.co/vlvfJr4nN9 so we could assist you further.(1/2)^RS
4,return_refund,"@115850  Ordered a WD external hdd 2TB which was on 50% discount on the MRP of 11,400.
But received product's MRP is 8,810. This is how Amazon Business model works i guess. And yeah thanks to it's customer care they asked me to return instead of accepting their mistake https://t.co/4XEqDm48Ch",4,0.6126811504364014,2528822,"@AmazonHelp recently purchased this product from Amazon for Rs.840 but the MRP on the product's packaging is RS.830! 
So I ended up paying more than the MRP! this is outrageous &amp; ILLEGAL. 
EXPECT an APOLOGY, with COMPENSATION &amp; also urge to take Stringent Steps against the SELLER https://t.co/F0kuPyI9LB","@719992 We try to ensure that the MRP mentioned on website is same as the MRP mentioned on the product that is delivered to you. However, occasionally the MRP of the product could be incorrectly updated. Please refer to this page for more info: https://t.co/z8xM5bPkFL ^JC"
4,return_refund,"@115850  Ordered a WD external hdd 2TB which was on 50% discount on the MRP of 11,400.
But received product's MRP is 8,810. This is how Amazon Business model works i guess. And yeah thanks to it's customer care they asked me to return instead of accepting their mistake https://t.co/4XEqDm48Ch",5,0.6044638752937317,837820,"Look at the MRP. Amazon you are making people fool.@115850 ,@AmazonHelp @127187 https://t.co/oWx4W3pJAN","@319380 The constantly changing marketplace and our efforts to offer you the lowest price, may result in fluctuations (1/2)^BS"
5,technical_product_issue,@AmazonHelp I got the app for Amazon flex...how do I know when I can drive here in Las Vegas,1,0.6716139316558838,800997,@AmazonHelp looking on indeed and see your amazon flex so download the app as it says and get this? Help https://t.co/vMJWCDMrDi,@301090 You can learn more about Amazon Flex IPhone requirements here: https://t.co/dDma5fd4a4. ^CE
5,technical_product_issue,@AmazonHelp I got the app for Amazon flex...how do I know when I can drive here in Las Vegas,2,0.666022777557373,757811,@AmazonHelp looking on indeed and see your amazon flex so download the app as it says and get this? Help https://t.co/PhNi9dihPs,@301090 Go to the FAQ section here: https://t.co/rjxJYQBdKT and follow the last section. It will explain what to do. ^AH
5,technical_product_issue,@AmazonHelp I got the app for Amazon flex...how do I know when I can drive here in Las Vegas,3,0.591911792755127,1675307,@AmazonHelp hi I've recently become amazon flex driver but I am struggling with the app won't let select my location for the parcels,@509691 Have you updated your availability in the Calendar in the app? You should receive offers after this update. Keep us posted! ^LB
5,technical_product_issue,@AmazonHelp I got the app for Amazon flex...how do I know when I can drive here in Las Vegas,4,0.5886212587356567,627741,@115821 why is the amazon flex app not working @29045,"@268674 I'm sorry to hear that, Robert! What exactly is going on with the app? ^VF"
5,technical_product_issue,@AmazonHelp I got the app for Amazon flex...how do I know when I can drive here in Las Vegas,5,0.5883731842041016,244155,@AmazonHelp Yeah. I was told Oct. 4 and the app has said “On the way” since yesterday morning,@173989 We don't have direct access to your order details! Have you reached out to our Customer Support: https://t.co/Q7Ftz6ETZy? ^ME
6,account_access,@AmazonHelp I can’t access my Amazon account and I’ve changed the password 5 times. Can you please help?,1,0.9021008014678955,2690679,"@AmazonHelp Good morning. I’m facing problems to access my account. I’ve reset the password several times, but the problem remains. Can you help me on this?",@756421 Oh no! Sorry to hear you are having trouble accessing your account! Have you received an email from an Account Specialist? Be sure to check your spam or junk folder as well. ^AD
6,account_access,@AmazonHelp I can’t access my Amazon account and I’ve changed the password 5 times. Can you please help?,2,0.8956916928291321,1544588,@AmazonHelp I can’t login to my account. It says to change my password so I do. Then it says password incorrect. Repeat and no change.,@478420 We'd love to assist you manually with accessing your account. Please get in touch with us here: https://t.co/jzvkhdlrK5 ^SH
6,account_access,@AmazonHelp I can’t access my Amazon account and I’ve changed the password 5 times. Can you please help?,3,0.8863081932067871,2317738,@AmazonHelp i cant sign in to my amazon account no matter how many times i change my password i keep getting the same issue,"@671948 Hello, I am sorry to hear this. Are you getting a particular error message when trying to log in ? Which site are you currently using ?  We will be glad to try to help if possible. ^CR"
6,account_access,@AmazonHelp I can’t access my Amazon account and I’ve changed the password 5 times. Can you please help?,4,0.8806812167167664,522480,@AmazonHelp I am having trouble with my account. Amazon keeps deactivating my password and that I will be able to access my account and change my password in 5 hours. I changed my password and it is not letting me into my account. I have reset my password and it says not valid.,"@240689 I'm sorry to hear this! We don't have access to customer accounts through Twitter, but when you have a chance, please contact us here so we can look into this: https://t.co/jzvkhd3Qlv ^BH"
6,account_access,@AmazonHelp I can’t access my Amazon account and I’ve changed the password 5 times. Can you please help?,5,0.8752272129058838,2548097,"@AmazonHelp can't sign into account.Changed password 5 times,every time I'm told incorrect password.can't access contact page w/o signing in","@724098 My apologies. Which Amazon site do you use? https://t.co/nUUp5MLhYl, .co.uk, .de etc. ^DC"
7,damaged_defective_wrong_item,So @AmazonHelp what do I do when I get shipped the wrong item three times in a row?,1,0.7953497171401978,2815542,"@AmazonHelp I've now received the wrong product twice in a row. The first time I was told that I had to return the incorrect item and place a brand new order. Did that, now I've received the incorrect item again. How do I resolve this?","@784943 Oh no, Kai! I'm so sorry this had happened twice! As we're not able to see order information via Twitter, please contact us via phone or chat here: https://t.co/hApLpMlfHN so we may look further into this. ^KL"
7,damaged_defective_wrong_item,So @AmazonHelp what do I do when I get shipped the wrong item three times in a row?,2,0.7479414939880371,660396,@AmazonHelp hi I’ve got a problem with an order I made. You seem to have sent the same item twice!,"@277303 Thank you for bringing this to our attention. When you have a moment, will you please click here:  https://t.co/hApLpMlfHN to contact our Customer Service team? ^TL"
7,damaged_defective_wrong_item,So @AmazonHelp what do I do when I get shipped the wrong item three times in a row?,3,0.7458928823471069,292868,@AmazonHelp I’ve been sent the wrong item. Help?,"@185748 I'm so sorry you received the wrong item, Jack! Please find the avail refund/replace options here: https://t.co/kzE9L3VYYr ^WJ"
7,damaged_defective_wrong_item,So @AmazonHelp what do I do when I get shipped the wrong item three times in a row?,4,0.7446702718734741,1494751,@AmazonHelp Received wrong product for 5th time for the same order,"@467065 Apologies for the hassle. Please fill in the details in the form provided earlier, so that we will be able to assist you. ^JS"
7,damaged_defective_wrong_item,So @AmazonHelp what do I do when I get shipped the wrong item three times in a row?,5,0.7387257814407349,830519,@AmazonHelp Separate items from the same order. This has happened a few times as of late...,"@316182 We'd like to look into this with you. When you have a moment, please reach out to us here: https://t.co/hApLpM3Ejd ^JA"
8,other_unclear,@AmazonHelp Um 15.30Uhr beginnt Nein Wochenende 😉,1,0.7167029976844788,2360582,@AmazonHelp mercredi 15 et jeudi 16 novembre,"@681681 Je vous prie de patienter. L'expédition est toujours dans les délais. Il arrive même parfois que les colis soient expédiés le jour même de la livraison.
^MD"
8,other_unclear,@AmazonHelp Um 15.30Uhr beginnt Nein Wochenende 😉,2,0.7164747714996338,2944396,@AmazonHelp Ah Vielen Dank 😁,@813373 Gerne! :) ^SK
8,other_unclear,@AmazonHelp Um 15.30Uhr beginnt Nein Wochenende 😉,3,0.7057812809944153,226075,@AmazonHelp erst nach Feierabend bitte 😜,"@133282 Den kannst du dir einstellen, wie du willst;) https://t.co/gzlf68qvf8 ^AV"
8,other_unclear,@AmazonHelp Um 15.30Uhr beginnt Nein Wochenende 😉,4,0.7034201622009277,2364735,@AmazonHelp Oui demain 20h,"@682712 Rassurez-vous, la livraison doit être effectuée à l'heure. Les expéditions sont faites le soir également. ^BR"
8,other_unclear,@AmazonHelp Um 15.30Uhr beginnt Nein Wochenende 😉,5,0.7001540660858154,995421,@AmazonHelp danke ebenfalls,@355795 Danke 😊
9,account_access,@AmazonHelp This morning. I provided my email address and you correctly identified my account name.,1,0.8876345157623291,847788,@AmazonHelp I actually don’t have an account set up on this email address I received it to.,@171456 Hi Laura. The email received is not genuine. Check out - https://t.co/KNiFl3D4sP for info on how to deal with phishing emails ^TP
9,account_access,@AmazonHelp This morning. I provided my email address and you correctly identified my account name.,2,0.8671869039535522,2103665,@AmazonHelp Hey. I got a problem with my account.. :(,@621110 Please contact us to take a look at: https://t.co/SUKb09p1e6 Regards ^TG
9,account_access,@AmazonHelp This morning. I provided my email address and you correctly identified my account name.,3,0.8622190356254578,1301219,@AmazonHelp I sent the email,@423579 Thank you for the update! I can confirm we've received your information and will continue to look into this further! ^LS
9,account_access,@AmazonHelp This morning. I provided my email address and you correctly identified my account name.,4,0.8618520498275757,331988,@AmazonHelp My account id is:__email__,"@195054 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^ZH"
9,account_access,@AmazonHelp This morning. I provided my email address and you correctly identified my account name.,5,0.8600355386734009,544448,@AmazonHelp I never got an email. I logged in to check.,"@246498 Has your order been shipped? If it has and a reason is available, it will be noted in your tracking details here: https://t.co/Y5jpI9gRhE We want to make sure you receive your order by the 7th at the latest. Please keep us posted. ^RA"
10,order_cancellation_modification,@AmazonHelp the worst part of amazon I want to cancel my order but it won't. This is not a good service,1,0.8927590847015381,917538,@AmazonHelp I'm trying to cancel the order.,@322585 Please get in touch here: https://t.co/JzP7hlA23B if you need assistance. ^RL
10,order_cancellation_modification,@AmazonHelp the worst part of amazon I want to cancel my order but it won't. This is not a good service,2,0.8838465809822083,2394441,@AmazonHelp I contacted your customer service team. Even they are unable to cancel the order.,"@689332 In that case, kindly fill in your details here: https://t.co/beaaDm0muc and we'll get in touch with you with an update. ^AU"
10,order_cancellation_modification,@AmazonHelp the worst part of amazon I want to cancel my order but it won't. This is not a good service,3,0.8836599588394165,2371308,"@AmazonHelp Honestly, I’d like to cancel my order and just get my money back","@684228 I'm sorry to hear that you have had this experience! We want to help. Without providing personal information, can you please elaborate a little? ^TL"
10,order_cancellation_modification,@AmazonHelp the worst part of amazon I want to cancel my order but it won't. This is not a good service,4,0.8831195831298828,2905048,@AmazonHelp Then receive a cancellation email. I've been in tears over it last night and again today as everyone I speak to say they are unable to help me and I can no longer have my order. I am so upset and frustrated and feel like no one cares and that I'm not an important enough customer.,"@804490 I'm very sorry this has happened with your order. We'd like to help! What was the reason for the cancellation? Is the item out of stock?

-RD"
10,order_cancellation_modification,@AmazonHelp the worst part of amazon I want to cancel my order but it won't. This is not a good service,5,0.8822023868560791,748739,@AmazonHelp Please cancel this order,"@298989 I get your disappointment, Shailesh. Request you to wait as our team is working on the issue. ^NK"
11,damaged_defective_wrong_item,"It was very pathetic experience with Amazon.
I have received the headset broken.
I am very disappointed with Amazon.@115850 https://t.co/ey8qRLcN1L",1,0.7578726410865784,2460806,@115850  Very Worst experience with Amazon . Frnds Don't Believe on Amazon . I ordered headphones n they show delivered to mi but it's not delivered to mi yet It's happen wid me 4time before this . Customer service  nt replying mi.Not accept my call .  hang my call . Useless,"@214938 I understand how upsetting this can be. This is certainly not the kind of experience we want our customers to have. I'd like to help you with this, kindly drop in your details here: https://t.co/GIJyeYqKE0 and I'll contact you at the earliest. ^AH"
11,damaged_defective_wrong_item,"It was very pathetic experience with Amazon.
I have received the headset broken.
I am very disappointed with Amazon.@115850 https://t.co/ey8qRLcN1L",2,0.7266085147857666,1674827,@AmazonHelp please help purchased headphones from @115850 product is not working properly and is in warranty no response from manufacturer,@319903 Sorry about the issues with product. Please connect to us here: https://t.co/vlvfJr4nN9 &amp; we'll help you further. ^BS
11,damaged_defective_wrong_item,"It was very pathetic experience with Amazon.
I have received the headset broken.
I am very disappointed with Amazon.@115850 https://t.co/ey8qRLcN1L",3,0.7208918333053589,234763,"@AmazonHelp What if i don't like the sound of the headset ?
i can't return it and i am trapped man.",@171904 For audio and video devices we only have a replacement policy. Appreciate your understanding (2/2) ^BS
11,damaged_defective_wrong_item,"It was very pathetic experience with Amazon.
I have received the headset broken.
I am very disappointed with Amazon.@115850 https://t.co/ey8qRLcN1L",4,0.7135907411575317,534244,"@115850  It is very dissappointing that such a huge company is doing the same mistake twice. I have ordered Philips bluetooth headset and was delivered HBS 730 bluetooth headset. After replacing the product I received the same product. 
Not expected from Amazon India...Shameful","@243734 I'm sorry about the experience you had with the order. Let me check what went wrong and assist further, please share the required details, here: https://t.co/GIJyeYqKE0. ^YP"
11,damaged_defective_wrong_item,"It was very pathetic experience with Amazon.
I have received the headset broken.
I am very disappointed with Amazon.@115850 https://t.co/ey8qRLcN1L",5,0.7125504016876221,1115840,@115850 I ordered a headset and it's still not delivered. It's more than 3 days since the day of delivery. 403-3783157-2468356,"@383300 Sorry to know you haven't received your order yet, we certainly did not expect this to happen. 1/3 ^PS"
12,prime_membership_benefit,@AmazonHelp Es war eine 30 Tage Amazon Prime Werbung...........,1,0.781620979309082,474200,@AmazonHelp En effet c'est une livraison Amazon Prime,"@227875 Avez-vous signalé cela à notre service?
^YL"
12,prime_membership_benefit,@AmazonHelp Es war eine 30 Tage Amazon Prime Werbung...........,2,0.7781203389167786,2638415,@AmazonHelp Amazon France j'ai un compte prime.,"@744630 J'en suis navrée, je vous prie dans ce cas-là de le signaler à notre SAV via: https://t.co/hgIrz98cdI afin d'y remédier.
^KE"
12,prime_membership_benefit,@AmazonHelp Es war eine 30 Tage Amazon Prime Werbung...........,3,0.7516462802886963,1124091,. @116316 @AmazonHelp Ich als #amazonprime Kunde habe vor 5 Tagen einen lagernden Artikel bestellt und ihr habt den noch nicht verschickt.,@385065 Auch direkt von uns oder einen Verkäufer? Melde dich doch bitte: https://t.co/lfaUPrBPZ1 ^TG
12,prime_membership_benefit,@AmazonHelp Es war eine 30 Tage Amazon Prime Werbung...........,4,0.7408758997917175,2514686,"@AmazonHelp me llega un libro NUEVO en estas condiciones, con Amazon Prime, después de esperar 12 días https://t.co/PTvD3m3Ppa","@716462 Hola Camila, sentimos lo sucedido. Puedes verificar las opciones disponibles aquí: https://t.co/h8ab5XAAi8 ^JD"
12,prime_membership_benefit,@AmazonHelp Es war eine 30 Tage Amazon Prime Werbung...........,5,0.7393593788146973,1076360,@AmazonHelp Kann man zufällig mit Amazon Prime TheWalkingDead schauen ? (FOX),"@208526 Du meinst Staffel 7, richtig? Nur noch ein paar Mal schlafen 😄. Ab dem 25.10.17 ist die Staffel über Prime Video verfügbar. ^DS"
13,prime_membership_benefit,Hi @115830 why can I not get next day delivery with my prime subscription. Everything is coming up as Tuesday delivery. Can I get a prime membership refund?,1,0.805942952632904,1666511,What’s the point of paying for @115830 Prime now? Item says same day but now delivery shows as Wednesday. Can I claim my membership back?,"@507679 Hi Edward, what date is in your order confirmation email? Has it changed? ^TS"
13,prime_membership_benefit,Hi @115830 why can I not get next day delivery with my prime subscription. Everything is coming up as Tuesday delivery. Can I get a prime membership refund?,2,0.776990532875061,2840323,Hi @115830 have you stopped offering next day delivery to prime customers? if so this is pretty poor as you have misled people when buying the membership.,@584320 Black Friday and Cyber Monday weeks are very busy and we are seeing a little later delivery dates than normal. The most up-to-date delivery date will be seen at check out. Learn more here: https://t.co/KoQu1w05kV ^JF
13,prime_membership_benefit,Hi @115830 why can I not get next day delivery with my prime subscription. Everything is coming up as Tuesday delivery. Can I get a prime membership refund?,3,0.7727893590927124,2895980,"Dear @AmazonHelp

If @132988 fails, yet again, to deliver a parcel on time can I have my annual Prime membership fee refunded.

It's getting beyond a joke now.","@270206 Hello, If you've used your Amazon Prime benefits prior to requesting cancellation, a refund cannot be made. Are you having a problem with an ongoing delivery?
^ARC"
13,prime_membership_benefit,Hi @115830 why can I not get next day delivery with my prime subscription. Everything is coming up as Tuesday delivery. Can I get a prime membership refund?,4,0.7722387313842773,98579,Buy @115830 prime services for the quick delivery times. Then get a notification that the delivery won’t turn up for another week. Uhhhhhhhm what happened to prime next day 🤔,"@137573 I'm sorry for the troubles, Joe! We're here to help if we can. Just to clarify, can you tell us if we have missed the expected delivery date in your order confirmation e-mail? ^AL"
13,prime_membership_benefit,Hi @115830 why can I not get next day delivery with my prime subscription. Everything is coming up as Tuesday delivery. Can I get a prime membership refund?,5,0.7702776789665222,2848986,@115830 I am an amazon prime member- why can’t I get anything delivered before Thursday 30th??,"@792274 I'm sorry for the wait. Deliveries may take slightly longer during Black Friday/Cyber Monday week. For more information, please go here: https://t.co/5dUcaIYBLV ^MB"
14,payment_unexpected_charge,"@AmazonHelp @115850 Truly pathetic customer service. Asking me to wait endlessly from morning while I am asking to confirm payment status, take another payment of the previous one hasn’t gone through and give me my product. Just that nobody seems to be interested in doing business at all.",1,0.8283138275146484,2400919,@AmazonHelp Pathetic service still now my product is not delivered no one came to deliver saying payment pending https://t.co/hd7TQIPgG2,@690797 we consider them to be personal information. Our Twitter page is visible to public. 3/3 ^SB
14,payment_unexpected_charge,"@AmazonHelp @115850 Truly pathetic customer service. Asking me to wait endlessly from morning while I am asking to confirm payment status, take another payment of the previous one hasn’t gone through and give me my product. Just that nobody seems to be interested in doing business at all.",2,0.8234389424324036,1032340,@115821 @AmazonHelp over 100 hours with customer service. Promised a SMALL chunk of my money back multiple times. Never got it. Seriously?!?,"@364258 I'm sorry for the frustration. Without providing any account info, will you let us know more about what's going on? ^KB"
14,payment_unexpected_charge,"@AmazonHelp @115850 Truly pathetic customer service. Asking me to wait endlessly from morning while I am asking to confirm payment status, take another payment of the previous one hasn’t gone through and give me my product. Just that nobody seems to be interested in doing business at all.",3,0.8199375867843628,2612267,@AmazonHelp If you followed up I received late a day #I paid for next day Total failure on customer service and absolutely NO Follow UP #,@738610 We'd like to look into this for you. Please contact us here: https://t.co/hApLpMlfHN ^LI
14,payment_unexpected_charge,"@AmazonHelp @115850 Truly pathetic customer service. Asking me to wait endlessly from morning while I am asking to confirm payment status, take another payment of the previous one hasn’t gone through and give me my product. Just that nobody seems to be interested in doing business at all.",4,0.8107065558433533,63992,@AmazonHelp @115850 Still waiting for response. The link provided opens twitter .. at least provide a valid link. ITS 15 days and I STILL DONT HAVE CASH I LOADED. I WANT MY MONEY @115851 #AmazonFails #AmazonFraud #AmazonPayQuiz #AmazonPay,"@130696 We're extremely sorry for the hassle. Please fill this form: https://t.co/beaaDm0muc and we'll have a closer look at your concern. Once you do the needful, our team will get back to you with an update soon.^AR"
14,payment_unexpected_charge,"@AmazonHelp @115850 Truly pathetic customer service. Asking me to wait endlessly from morning while I am asking to confirm payment status, take another payment of the previous one hasn’t gone through and give me my product. Just that nobody seems to be interested in doing business at all.",5,0.8091991543769836,707926,"@AmazonHelp @115851 still waiting for someone to connect with me from customer care, take time to face the customer.",@289233 Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG
15,prime_membership_benefit,One thing I have promised myself today - I will never again be recommending an @115850 prime subscription to anyone.,1,0.7577223777770996,1216234,"@115821 I wonder why I pay for prime… I think out of about the past 8 only 1 has arrived on time ! Shocking service!
#amazon #prime #fail",@405391 Oh no! I'm sorry for the troubles with your orders! Can you tell me which site you order from and the current status? ^FR
15,prime_membership_benefit,One thing I have promised myself today - I will never again be recommending an @115850 prime subscription to anyone.,2,0.7541362047195435,2754660,Don't know why I bother with @115830 prime when all the stuff they send never turns up the next day! And @AmazonHelp will no doubt have some crap excuse as per,"@140382 I'm really sorry to hear your parcel didn't arrive as expected! At your convenience, please reach us directly via phone or chat so we may look into this and go over available options with you: https://t.co/qy3J24VGxb ^BV"
15,prime_membership_benefit,One thing I have promised myself today - I will never again be recommending an @115850 prime subscription to anyone.,3,0.7519917488098145,1664469,@115850 Any way I can re-subscribe to prime @58833:/ My 1 year just flew by!!,"@507258 Unfortunately no, It was a promotional offer and isn't available now. ^PS"
15,prime_membership_benefit,One thing I have promised myself today - I will never again be recommending an @115850 prime subscription to anyone.,4,0.7515293955802917,924456,@115821 prime is a waste of money! Half of the things I order DO NOT come in two days. What a guarantee!,@203264 Oh no! This is not what we like to hear. We'd like to help in any way we can. Are you having issues with a current order? ^NM
15,prime_membership_benefit,One thing I have promised myself today - I will never again be recommending an @115850 prime subscription to anyone.,5,0.7499094009399414,744210,It's great when @115821 tells you that your Prime membership isn't qualified to use for @119038 prime. Even though you pay them monthly. WTF,@297937 What information did we provide as to why your membership isn't qualified? ^TR
16,other_unclear,"@115830 2/2

Turns out he's asking if I am 18 years old

Me: ""Do I look it?""

Courier: ""no you 18""

Me: well over 20 years ago yeah""

Courier point blank refuses to hand parcel over to me.

I don't know if to feel annoyed or flattered - I was born in '74!",1,0.58916175365448,508213,"@115830 not happy with one of your couriers, left a parcel on my doorstep where anyone could have picked it up. To top it off left a note saying they'd left it with a neighbour.",@236687 Oh no! Let's talk about this in real time! Please call or chat with us here: https://t.co/5zGJTyV7jd ^BA
16,other_unclear,"@115830 2/2

Turns out he's asking if I am 18 years old

Me: ""Do I look it?""

Courier: ""no you 18""

Me: well over 20 years ago yeah""

Courier point blank refuses to hand parcel over to me.

I don't know if to feel annoyed or flattered - I was born in '74!",2,0.5809845924377441,1061326,@115851 @115830 what a disgrace your courier service is! Absolute liars to say you tried to attempt delivery when I've been in all,@370604 I've very sorry for the poor experience! Please reach out to us here: https://t.co/JzP7hlA23B so we can look into this. ^ZW
16,other_unclear,"@115830 2/2

Turns out he's asking if I am 18 years old

Me: ""Do I look it?""

Courier: ""no you 18""

Me: well over 20 years ago yeah""

Courier point blank refuses to hand parcel over to me.

I don't know if to feel annoyed or flattered - I was born in '74!",3,0.5799081325531006,2958580,"@115821 couriers make deliveries feel like a game of chance - lost my niece's christmas present today, support basically told us ¯\_(ツ)_/¯","@816574 Oh no, Eddie! I do apologize about this happening. We want to help you with this. Did you speak with the courier support, or were you able to speak with us? ^GP"
