case_id,customer_message,amazon_response
2884178,@AmazonHelp carrier is UPS. I called you and awaiting your call back on +254723662196 to know on the status of the package,"@800071 Hi, Martin! I'm very sorry that your order is stuck in customs. First, please remove your posts that show your personal information, such as phone number. This Twitter account is public and everyone in the world can now see your details. (1/2) ^SP"
524892,@AmazonHelp I contacted them and we finally got it sorted out. Thanks but I don’t think I’ll do amazon trade in again.,"@241391 That's frustrating, I'm sorry you had such a poor experience with the trade in program. Thank you for giving it a try, I'm glad you were able to get it resolved. ^EA"
524897,こんな安いのにお急ぎ便頼んだりビデオ見放題できたりしちゃうんか……Amazonプライムこえー,@241392 できちゃうんです💡 ぜひご活用くださいませ！(*'ω'*) EK
2884188,"@AmazonHelp Pues hice el encargo de una pulsera, para sorprender a mi esposa en el aniversario. En Amazon decía que se entregaría el 29 y de madrugada vi que saldría hoy en reparto, escribí para cambiar la fecha a mañana, pero le hablaron a mi esposa diciendo de la pulsera para mañana 😔","@800072 Lamentamos lo sucedido Xolotzin, recuerda que puedes reportar este inconveniente con nuestro Soporte al Cliente mediante el siguiente enlace: https://t.co/OjvUxwnzPe. ^AZ"
524900,"@AmazonHelp Hi There - I am experiencing an issue with several orders I made that are coming in one package - I have Prime and have not received my items, two days after the original scheduled delivery date. I have called twice about this issue to no avail. Could I get some help?","@241393 I am sorry your packages have not arrived. Can you tell us who the carrier is?
You can check who the carrier is here: https://t.co/PyACxvGxrO ^CC"
524902,@AmazonHelp I have already and it has not been helpful. I have already spent 1+ hour on the phone on this issue and have essentially been told to call back tomorrow. I would like someone with authority to get in contact with me directly.,"@241393 I can understand how frustrating this is. We're unable to access your account over Twitter; I hope you'll give us another chance to make it right. Whenever you've got time, please reach us using EZ's link. ^DW"
524907,@AmazonHelp I’ve been using that app every day for six months and I’ve never had this problem until this week,@241395 Yikes! I completely understand your frustration. We'd like to troubleshoot this issue with you. Please reach out to us directly via phone/chat here: https://t.co/hApLpM3Ejd ^TN
2884195,@115821 @AmazonHelp You cancel my order. Expect me to buy at a higher price. Your customer support can't read the tickets after explaining the problem several times: First telling me the account is reinstated then telling me prices change. Honor the order. #scam #baitandswitch,@800073 I'm sorry to hear about this issue. Can I ask what reason was given for your order being canceled? ^MI
623,"@AmazonHelp Okay, danke für die Info",@115824 Wir haben zu danken. Schönen Abend noch. ^JS
624,"@115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?","@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS"
524917,@AmazonHelp yes i have already cancelled 2 orders because that were not Dispatched till 5-6 Days And Now I Ordered This New On Debit Card Payment for fast delivery but i getting same problem..  not dispatching from 3 days😡😡,"@241396 That's uncertain! Apologies for the hassle with your order. We deliver order by the estimated date. If we missed out of that, please contact your support team here: https://t.co/HQhpS2qeEd and we will help you. ^BS"
2884205,@AmazonHelp Because care number can't connected by me,@388695 Could you let us know the error you see while trying to connect with the support team? We would check and help. ^KK
524921,@AmazonHelp i just want to know about my latest order!!! when will it be Dispatched!!!,@241396 I get your concern regarding an order placed. A correspondence email will be sent updating the status of the order and will be delivered by the estimated date. Please keep us posted for any further assistance. ^BS
636,"Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043",@115832 Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE
1573504,@115850 Which generation echo dot is available in India? Is it a first generation or second generation? #EchoDot,@484989 We have the most updated version of Echo series for sale on Amazon.in marketplace. ^AS
1573510,@AmazonHelp If I didn't have access to account. How would I know you blew out all the payment information.  You even blew out my reward points.,"@473760 Please reach out to us here: https://t.co/jzvkhd3Qlv so we can take a closer look, Doug. ^AB"
1573511,@AmazonHelp The order that you cancelled was a gift that now will not make it. Stop focusing on the account. Start focusing on the customer,@473760 Did you receive an e-mail from our Account Specialist team regarding the status of your account? We want to help! ^ZW
1573513,@AmazonHelp I DON'T HAVE A LOGON PROBLEM.  ESCALATE NOW!!! I HAVE PROBLEMS WITH WHAT YOU DID TO MY ACCOUNT AND ORDER,"@473760 We don't have access to your account via Twitter, but you can get in touch with an agent with access at the link above. ^LB"
652,@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,@115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH
661,@115841 @115821 Feliz #Halloween2017 https://t.co/edHbRDnM8x,@115840 ¡Que lindoooooooooo! 😍🐶🎃 ^JJ https://t.co/YSOVnjaPrO
1573529,@AmazonHelp I have already called the customer care since Nov 2nd  till date but  no proper response received yet and no clarity on the delivery date.,@484992 provided earlier here: https://t.co/KUMJRZml1g ? (2/2) ^MO
672,"I'm NEVER using Amazon again! After waiting in all day as item is ""out for delivery"", they've only gone and sent it to the WRONG COUNTRY!",@115844 Oh no! We're here to help! Without providing account details will you give us more information about what has happened? ^SE
1573538,"@115830 how do you trace a parcel which is presenting as ""delivered"" yet it hasn't been delivered to me.","@484995 Hello, please take a look at the link provided as it might help you locate the parcel:https://t.co/ceuuoPMKfJ ^CR"
676,@115847 @115821 Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol,@115846 That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: https://t.co/hApLpMlfHN ^BN
1573540,@AmazonHelp You’ve gotta be kidding! Spent over an hour ‘troubleshooting’ with one of your inexperienced staff. Got nowhere. Have an expert call me.,@484996 Can you tell us more about what's happening? What troubleshooting steps have already been taken? We'd like to help!  ^KJ
686,@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,"@115849 I understand your concern, James. Allow me to take a closer look. 1/2 ^HD"
685,@AmazonHelp Details sent. Please check.,@115849 Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB
787114,@AmazonHelp There is nothing there. And I have no email address to try and contact anyone as the help me page requires a login which you have blocked,@307763 What Amazon website do you use? https://t.co/xJXEJm9Z6c or another Amazon website? ^JJ
787135,"first time using @117795, possibly the worst customer experience I've encountered. STAY AWAY - doesn't work. #wasteoftime","@307764 Oh no! Sorry to hear about this. W/o posting personal info, can you elaborate on what happened? We'd like to help. ^PK"
1311424,"""What is heartbreak?"" when your @115821 package still hasn't arrived 3 days after it was supposed to 😪","@426443 Awe Angie, we never intended to break your heart.... Is there any update on the tracking?  https://t.co/Y5jpI9gRhE ^MI"
1573574,This @115821 bullshit of “Delivery attempted” pissing me off. I’ve been here in my office all morning. There was no delivery attempted.,@282867 I'm sorry to hear that your order wasn't delivered. Who is the carrier for this order shown here: https://t.co/q4LAMZ3tbE? ^GR
787134,"@AmazonHelp Ordered Snesclassic yesterday. Deliver 8-10am today. Says delivered. Nowhere to be seen. Speak to CS on the phone, offered refund (1 of 2)","@307764 As we're unable to view your account via Twitter, pls contact here again:https://t.co/JzP7hlA23B so we can look into this.^KM"
787141,@AmazonHelp I have added Nikon D5300 18-140mm cart Rs 46436 but while checkout it increase d to 47800,@307765 Our support team will be happy to look into this. You can connect with us here: https://t.co/R3EfhzgU8B. ^CB
787143,"@AmazonHelp  agents say, we will refund you in 5 days! it's been 13 days. still waiting for @71902 @133462 is growing better. https://t.co/nNwMDB50eP","@307766 That's an unpleasant experience you've had with us. Let us help you out. Please don’t provide your order details, (1/2) ^VM"
787147,J'attends toujours pour @115821 m'envoyer mon cahier pour mes cours français. Je peux pas faire les devoirs. Je dois pratiquer ici plutôt.,"@307767 Bonjour, désolée pour cela. Quelle est la date de livraison annoncée lors de la validation de la commande? ^MD"
1311436,@AmazonHelp You again started this STUPID verification? Why should verify myself every time I browse on my personal laptop? Cant ur dumb enginner use cookies to avoid it? @115850 https://t.co/gD3DI0gafq,"@426447 I understand this additional step is inconvenient. However, this is something related to your account security. Appreciate your understanding. ^NK"
787151,"@115850 Appreciate your service. Just with one call to customer care, the delayed order delivered before the original expected date. Kudos",@307768 Thank you for taking time and sharing the feedback. ^HR
1573588,@AmazonHelp is my parcel out for delivery or not?? https://t.co/DSJCzMn1xc,"@485000 Hi Dawn, I see that your parcel is expected to be there by 8 PM. Keep us updated on the delivery! ^AB"
1573594,Reçu plus tôt que prévu merci @120533 👌 https://t.co/7RXDZVhRma,"@485001 Votre satisfaction est notre priorité !
^MD"
1573596,@AmazonHelp so viel Luft hatte ich gar nicht bestellt. Da passt das Zeug ja 2x rein. Habt ihr keine kleineren Kartons? 😲 https://t.co/CL0WJfjm8e,@485002 Feedback kannst du uns gerne hier zukommen lassen: https://t.co/dLhbMTYQni Noch ein schönes Wochenende 👍 ^MI
1311448,@AmazonHelp @247940 !,"@426448 Quelle est l'information indiquée actuellement sur le suivi?
^MD"
1311450,@AmazonHelp Non. C’est pire! Personne sais il est où le colis!,"@426448 Quel est le transporteur en charge de la livraison?
^MD"
787161,@AmazonHelp D number shared is tracking id. Pls note if i wanted slow i would have written through amazon. But theres no way to reach u guys,@307770 Sorry about that. You can reach out to us using the link shared above and we'll definitely look into it. ^PS
1573605,"@116316 schickt mir am 04.11. eine Versandbestätigung, für etwas das am 03.11. kommen sollte und schon am 02.11. geliefert wurde. Okay...",@485005 Tatsächlich komisch. Handelt es sich um eine Marketplace Bestellung? Oder wurde der Artikel von Amazon.de versendet? ^MI
787177,@AmazonHelp Wow. This is Heights,@307770 Sorry for the disappointment. We can't gain access to your account details via Twitter.  (1/2) ^KA
1835756,@AmazonHelp リプライありがとうございます。出品者の方へ問い合わせの旨を連絡しました。,@550507 お手数をおかけいたしました。出品者からの回答をお待ちくださいませ。RI
787182,"@AmazonHelp reason to not buy from amazon.in,agent call swati again giving a stupid answers? https://t.co/nPwSs9dWou",@307766 Apologies for your experience. Please submit your details here: https://t.co/GIJyeYqKE0. We'll get back. ^HK
1835760,@115821 @115850 @131283 @123644 amazon customer executive just smashed the phone on my face,@325140 We'd like to investigate this issue further. Please share your details with us here: https://t.co/GIJyeYqKE0 and we'll help. ^ZH
787203,@115850 ordered ruggers shirt and seller send excalibur shirt,@199513 Sorry about that. Kindly get in touch with us here: https://t.co/KsvVzHyJip and we’ll be glad to help you. ^AG
787205,"@AmazonHelp 
Worst सी ever https://t.co/WE2uhYtXXW",@191975 I apologize for the trouble you've faced with the delivery. It's certainly not what we want our customers to experience. 1/3 ^EM
1835783,What's  the point in ordering @115850 during festive days when you can't deliver the package in 3-4 days.Absolutely shambles.,"@550512 I understand the need of the product. However, we dispatch and deliver products as per the estimates provided. 1/2 ^AP"
787209,Guys pls don't save your cards in Amazon account an fraudulent transaction is done from my brothers card. Reckless support from @115850.,@307776 We're sorry to hear that. Please fill up this form: https://t.co/GIJyeYqKE0 and we'll reach out to you. ^HK
1049359,"@115850 One of the worst customer service experiences. Seller sent wrong product, no action taken despite complaints. IVR just doesnt work",@368014 Sorry to know that your concern is still pending. Please fill this form: https://t.co/beaaDm0muc and we'll get it sorted.^RS
1049361,"@AmazonHelp Que se entrega hoy. Lo que molesta es pagar PRIME para entrega 1 día, lo compre el Miércoles 18 a las 21.00h y no ha llegado.","@368015 Entiendo, lamento esto. Si para el final del día no se hubiera concretado la entrega por favor háznoslo saber ^AR"
