example_id,gold_intent,customer_message,predicted_intent,classification_method,top_similarity,decision,reason,intent_correct
80,seller_marketplace,#amazon pessima assistenza ai venditori. Per la verifica di un account già attivo e ottimo sono passati 4 mesi e ancora nulla!!!,technical_product_issue,semantic,0.7422631978988647,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.742).,False
86,technical_product_issue,@115821 is there a problem with your .de site? It is so slow? Is it because I became Prime today? #PrimeAtLastInBelgium,prime_membership_benefit,semantic,0.7251165509223938,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.725).,False
88,delivery_delay,@AmazonHelp I have filled the details.. Please update ASAP. If I don't get order by tmrw EOD I will cancel it.. Thanks..,order_cancellation_modification,semantic,0.7756097316741943,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.776).,False
92,other_unclear,"@AmazonHelp Everything went wrong in last 1 year.  Every genuine concern is ignored with a Blind Eye.  Seller Support, Escalation Support all failed.",damaged_defective_wrong_item,semantic,0.8074887990951538,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.807).,False
100,package_not_received,So according to the @115830 app @116324 tried to deliver my parcel today but I have been in all day and there has been no one at the door and no delivery slip posted! Where was my parcel allegedly delivered to?! Hmm... #disappointed,tracking_delivery_status,semantic,0.8460756540298462,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.846).,False
112,other_unclear,@AmazonHelp Too late i drive,delivery_delay,keyword,0.8804785013198853,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.880).,False
113,other_unclear,@AmazonHelp Verry verry right things sir but all support team and u and your correspond all r fake last 13 days i see and no solution.....,technical_product_issue,semantic,0.760614275932312,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.761).,False
118,return_refund,@AmazonHelp I don't want my order now PLEASE REIMBURSE I cancelled the order already on 12th,order_cancellation_modification,semantic,0.8584446907043457,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.858).,False
125,package_not_received,What's going on @115821? Q40702658884 Has NOT been delivered despite your tracking info saying it has. Why do you keep losing our packages?,tracking_delivery_status,keyword,0.7781270146369934,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.778).,False
142,technical_product_issue,@AmazonHelp Started happening today.  Have had stick for a while but first time trying to use it to watch football.  The stick is warm to touch as well not sure if that matters,damaged_defective_wrong_item,semantic,0.6563627123832703,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.656).,False
149,package_not_received,@115821 is fucking garbage I’m a prime member for no reason this is the 3rd time I bought something and they lost my fuckin package!,prime_membership_benefit,keyword,0.8265125751495361,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.827).,False
154,tracking_delivery_status,@AmazonHelp App still says will be delivered today. I appreciate it cannot give me a date until despatch but surely a ‘delayed’ notification possible?,delivery_delay,keyword,0.844733476638794,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.845).,False
156,prime_membership_benefit,"@AmazonHelp hi I accidentally bought a,prime membership how do I get a refund",return_refund,semantic,0.8660231828689575,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.866).,False
157,payment_unexpected_charge,待って最悪メールアドレス変えたの忘れててAmazonの支払い番号のメール届かない😩,technical_product_issue,semantic,0.8858667016029358,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.886).,False
159,package_not_received,@AmazonHelp I have not received my product as of now but you guys are asking for my experience.. Here I am fighting for my and you are asking for my experience.. https://t.co/fGMhgnnrae,damaged_defective_wrong_item,semantic,0.7179703712463379,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.718).,False
163,technical_product_issue,@AmazonHelp But how can it be a deal of the day if it's not even available to buy? Makes no sense.,seller_marketplace,semantic,0.8178800940513611,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.818).,False
164,payment_unexpected_charge,夜にアマゾンで注文したんだけど、未だに支払いメールが来ない…在庫はあるみたいだったんだけどなぁ。,technical_product_issue,semantic,0.8746709823608398,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.875).,False
172,delivery_delay,"Geht mir das so auf den Zeiger! Und dafür zahlt man  ""Prime""  und nein will nicht den Kundendienst kontaktieren,  bringt nix und mal nen Bonus fürs ewige verzögern bekommt man auch nicht!  @116316 https://t.co/TLGDb1sTzV",prime_membership_benefit,semantic,0.7230328917503357,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.723).,False
184,technical_product_issue,Hi @116935 if you accept user suggestions for your iOS app where would I send them?,return_refund,semantic,0.6690599918365479,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.669).,False
185,tracking_delivery_status,@AmazonHelp 連絡ありがとうございます！ツイートにはありませんでしたが、他にも品を購入し、発送先が台湾だったので国内での配送がヤマト運輸になるという事はありますでしょうか？明日朝届くので確認してみたいと思います。,technical_product_issue,semantic,0.7936081290245056,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.794).,False
190,payment_unexpected_charge,"@115850 @AmazonHelp 
As per Great India Sale on 9th August to 12th August 2017, i should get 15% cashback of ₹750.60 for order value ₹5004 .I made payment using SBI Credit card through Amazon mobile app.But i had received only 10% cashback of ₹500.40 on 11th Nov 2017.",seller_marketplace,semantic,0.8688880205154419,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.869).,False
195,other_unclear,"@AmazonHelp Still not working, any help?",technical_product_issue,semantic,0.984131157398224,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.984).,False
199,tracking_delivery_status,"@AmazonHelp my delivery date says pending, but before it said the 11th. Does this mean that you're unsure when I'll get my package?",delivery_delay,semantic,0.8167157769203186,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.817).,False
200,delivery_delay,"@115830 Hi. I placed an order a month ago, delivery date exceeded. No item delivered. No response from emails sent. Both seller and amazon",seller_marketplace,keyword,0.8280888795852661,auto_handle,Intent is supported and relevant historical evidence is available (top similarity=0.828).,False
