example_id,message_id,conversation_id,timestamp,text,sampling_bucket,gold_intent,label_notes
26,987378,987378,Sun Oct 22 11:23:49 +0000 2017,"@115850 has unauthorized sellers like @226787 in India who sell faulty products/false warranty claims, hence avoid buying! PFA proof. https://t.co/hnGeWB2XGe",damaged_defective_wrong_item,seller_marketplace,Complaint about an unauthorized marketplace seller.
27,2166645,2166645,Thu Nov 09 09:49:55 +0000 2017,What options @115830 ? Ordered a book on prime on 26th October and still no sign of it. @AmazonHelp  cc @432799 #watchdog https://t.co/M4RSn12chG,prime_membership_benefit,delivery_delay,Prime order is overdue and has not arrived.
28,461207,461207,Fri Dec 01 02:25:45 +0000 2017,"@AmazonHelp Yes, but not all of my order is broken, just 2/5. How can I exchange 2?",damaged_defective_wrong_item,damaged_defective_wrong_item,Two items are broken and customer wants an exchange.
29,2907794,2907794,Tue Nov 28 20:35:50 +0000 2017,"@AmazonHelp I’m not around a computer right now and the app always works on my phone, until now. I will have to try to make my purchase on the computer later.",technical_product_issue,technical_product_issue,Amazon app stopped working.
30,2416359,2416359,Sun Oct 29 09:07:27 +0000 2017,@AmazonHelp had a prime order due yesterday thats delayed.Its my last day at that address.Can I get a redirection or do I need to cancel?,delivery_delay,delivery_delay,Order is delayed; redirection/cancellation are possible follow-up actions.
31,163524,163524,Mon Nov 27 07:28:22 +0000 2017,"@AmazonHelp Yep and yet again it's been ""delayed"" after the first one was ""damaged in transit"" this was meant to be sent to me as an apology. Still no laptop, Prime customer, keep getting offered an extra month of Prime as compensation (great example of Prime so far?!?) Insulting.",delivery_delay,delivery_delay,Main issue is repeated delivery delay; Prime is contextual.
32,929182,929182,Tue Oct 24 02:07:03 +0000 2017,@AmazonHelp No I have not received any correspondence from you and I have asked delivery proof from you.,package_not_received,other_unclear,Missing correspondence/delivery proof; insufficient context.
33,726325,726325,Wed Oct 11 05:39:34 +0000 2017,@AmazonHelp I’m not trying to return the book though. Any way to get a new book that isn’t damaged? It’s also a signed copy..,return_refund,damaged_defective_wrong_item,Damaged book; customer wants a replacement.
34,631682,631682,Wed Nov 22 15:58:19 +0000 2017,"Double charged by @115830 for an item, who do I get in contact with??😭",payment_unexpected_charge,payment_unexpected_charge,Double charge for the same item.
35,2200751,2200751,Sun Nov 26 14:15:27 +0000 2017,@120533 Bah oui mais hors de question de payer l’envoi d’un fax ou d’un courrier à l’étranger . Merci de trouver une solution.,random_hard,other_unclear,Foreign fax/letter issue; insufficient context for a defined intent.
36,837100,837100,Fri Oct 13 10:14:43 +0000 2017,@115850 @115821 @AmazonHelp @115850 worst thing is.. After whatever mistakes he has done...   After first unsuccessful attempt he has returned my order to seller,seller_marketplace,seller_marketplace,Order was returned to seller after an unsuccessful delivery attempt.
37,2543877,2543877,Thu Nov 16 13:16:41 +0000 2017,amazon musicにpersona5のサントラ配信されている。プライム会員なら聴き放題じゃあ,random_hard,prime_membership_benefit,Question about Prime member access to Amazon Music.
38,1197125,1197125,Wed Oct 25 03:24:14 +0000 2017,"@AmazonHelp Sent it, now do I just wait?",random_hard,other_unclear,Context is missing; cannot determine the primary support intent.
39,1396193,1396193,Sat Oct 28 14:02:39 +0000 2017,@115850 plz help me I order 5 items on given no plz send these items till monday as i m traveling to SAO on 30th,random_hard,delivery_delay,Customer needs delivery by a specific deadline.
40,2366309,2366309,Mon Nov 13 22:57:22 +0000 2017,"@AmazonHelp It was placed on 10 November, the second charge for the same amount was on 13 November. Exact same amount. Only received one confirmation email though.",payment_unexpected_charge,payment_unexpected_charge,Same amount charged twice for the same order.
41,1694327,1694327,Tue Oct 17 17:03:30 +0000 2017,@AmazonHelp U call me on 9987825000 nd solve this.. sending second hand stuff while seeking payment for nee brand stuff,payment_unexpected_charge,damaged_defective_wrong_item,Used/second-hand item received instead of a new product.
42,691130,691130,Tue Oct 10 18:38:12 +0000 2017,@115850 I think I've made some drawings over my personal info. 😒😒,random_hard,other_unclear,Personal information concern is unclear from the message.
43,2795316,2795316,Tue Nov 21 22:15:55 +0000 2017,"@116245 Update: It's 15 minutes past the delivery slot, presumably the last one of the night - nothing.

So.. where do we go from here @ArgosHelpers? Do I call again tomorrow, to schedule yet another delivery for it to be missed again? Or should I just cancel and order from @115821? 🤔",order_cancellation_modification,delivery_delay,Delivery slot passed without delivery.
44,2928979,2928979,Wed Nov 29 05:46:07 +0000 2017,"@115850 ordered, paid extra 100/- for delivery on next day. Was supposed to receive it yesterday but now date given is 1st Dec.
Was in urgent need. Pls check if it's coming today or else refund the extra 100 Rs. For Next day.
Tracking # 911149535738
Order # 408-5560141-4889121",tracking_delivery_status,delivery_delay,Paid for next-day delivery but delivery was delayed.
45,384499,384499,Mon Oct 09 11:52:38 +0000 2017,@AmazonHelp I would like to manage payments through the same app I purchase. That seems to be something worth looking into creating if doesn’t exist,technical_product_issue,payment_unexpected_charge,Payment-management functionality request; closest available intent.
46,432994,432994,Tue Oct 10 15:41:51 +0000 2017,@115821 fake invoice in 1 case shipping chg with gst in another shipping chg without gst. https://t.co/VQWeqm5fNH,random_hard,payment_unexpected_charge,Complaint about shipping charges and GST on invoice.
47,1674661,1674661,Mon Nov 06 17:06:52 +0000 2017,"Dear Amazon, 

Where is my leaf blower!!!",tracking_delivery_status,tracking_delivery_status,Asks where the product/order is; no explicit indication that it is overdue.
48,2298179,2298179,Sun Nov 12 14:26:01 +0000 2017,@AmazonHelp hi just got a notification saying my parcel was handed and delivered but I never received anything ?? Furthermore no one even knocked on my door ?,package_not_received,package_not_received,Parcel marked delivered but customer did not receive it.
49,2899522,2899522,Tue Nov 28 17:44:05 +0000 2017,"Look what I've had delivered from @115830 as a surprise present for making them laugh with one of my tweets! I love them, they are so cute and cosy! Thank you very very much 💖 https://t.co/Uhncm1ckG9",random_hard,other_unclear,Positive feedback/thanks with no support request.
50,189528,189528,Wed Oct 04 13:19:12 +0000 2017,@115850 why don't u bring eco spot  #AmazonGreatIndianFestival  Echo  (Includes 1 Year Prime Membership) - Black https://t.co/0AyNFxtXod,prime_membership_benefit,prime_membership_benefit,Product listing includes a Prime membership benefit.
51,2903441,2903441,Wed Nov 29 11:20:24 +0000 2017,"@AmazonHelp It seems my item has been ordered, and my account has been unsuspended.",account_access,account_access,Account was suspended and subsequently unsuspended.
52,1531241,1531241,Fri Nov 03 20:32:26 +0000 2017,@AmazonHelp I got it.  Thanks.  It struggles between the word bong and bomb.,random_hard,technical_product_issue,Product/voice recognition is not working correctly.
53,758931,758931,Wed Oct 11 19:39:01 +0000 2017,"my @11572 Tal'Dorei Campaign Setting order on @115830 has been delayed again, back till the 23rd now :/",delivery_delay,delivery_delay,Order is explicitly delayed again.
54,2836979,2836979,Mon Nov 27 15:09:45 +0000 2017,@115850 just deleted ur app...such a bad service..u people r making fool..why dont u shut urself if u dont want to do business.,technical_product_issue,technical_product_issue,Complaint about Amazon app/service experience.
55,1724757,1724757,Tue Oct 17 18:57:44 +0000 2017,"@AmazonHelp I cannot enter my account it says my password is incorrect even if i set a new one, the same problem with my 2 accounts",account_access,account_access,Cannot access account despite resetting password.
56,292884,292884,Fri Oct 06 16:32:27 +0000 2017,"Is it just me or is @115821 / @117795 starting to charge for shipping/returns? Again, Prime customer here. @AmazonHelp",payment_unexpected_charge,prime_membership_benefit,Question about Prime shipping/return benefits.
57,1626349,1626349,Sun Nov 05 18:05:08 +0000 2017,.@115830 Why can’t I use my £10 credit I signed up for using my firestick 🔥,random_hard,prime_membership_benefit,Cannot use promotional credit associated with Firestick.
58,644715,644715,Wed Nov 22 18:07:35 +0000 2017,@AmazonHelp service center clearly said dat dis model is old so we dint give any service ur team said go to loacal shop n seller paid chargs,seller_marketplace,technical_product_issue,Product servicing/support issue involving an older model.
59,2514235,2514235,Mon Oct 30 07:45:00 +0000 2017,@115821 Order ID : 408-6262790-4122723 as shown while ordering should have to be delivered by today. But after ordering its 3rd Oct Why So,random_hard,delivery_delay,Promised delivery date changed after ordering.
60,442890,442890,Wed Nov 22 09:21:49 +0000 2017,@AmazonHelp sent. I also emailed seller support with all the details. I just hope this will finally get resolved. it’s literally been months!,seller_marketplace,seller_marketplace,Seller support issue remains unresolved.
61,30519,30519,Thu Nov 02 01:46:39 +0000 2017,@AmazonHelp One can get so hassled filing up your forms that would want to give up on the issue at hand. Feels like a mistake to bring it up.,random_hard,other_unclear,Customer is frustrated with support forms but underlying issue is unclear.
62,2302199,2302199,Sun Nov 12 18:43:53 +0000 2017,"@AmazonHelp First order expected delivery is 9th of august, so way off now. Have tried to message the seller many times nothing back and second item says expected delivery date was yesterday, just annoying when money's being taken out of my bank and nothing's turning up.",seller_marketplace,delivery_delay,Expected delivery dates have passed and items have not arrived.
63,2918697,2918697,Wed Nov 29 01:11:09 +0000 2017,@AmazonHelp There is no tracking number,tracking_delivery_status,tracking_delivery_status,Customer does not have a tracking number.
64,986234,986234,Sat Oct 14 09:50:12 +0000 2017,@AmazonHelp This order says delivered but I never received it #403-2589731-9684305 Please help,package_not_received,package_not_received,Order marked delivered but customer did not receive it.
65,527696,527696,Sat Dec 02 07:32:47 +0000 2017,"@12339 @215765 
Tracking Number# 5180793475130
May I know why is the item from @115850  rescheduled without my consent??",tracking_delivery_status,delivery_delay,Delivery was rescheduled without customer consent.
66,2811741,2811741,Wed Nov 22 08:14:56 +0000 2017,@115821 why am I️ still having trouble? Tried to set up a student account half an hour ago. https://t.co/jaykNEjBUb,account_access,account_access,Problem setting up a student account.
67,2347782,2347782,Mon Nov 13 16:05:47 +0000 2017,"@AmazonHelp I just placed an order, but  i realized the wrong card was the first one that was used, I've changed the card in the order status Which of my cards will be used for the order?",order_cancellation_modification,payment_unexpected_charge,Wrong payment card was initially used for the order.
68,1825978,1825978,Wed Oct 18 04:29:27 +0000 2017,アマゾンの特典ってなくなり次第終了？？,random_hard,prime_membership_benefit,Question about availability of an Amazon benefit/promotion.
69,391178,391178,Mon Oct 09 16:12:10 +0000 2017,"@AmazonHelp I ordered yesterday and was told delivery will be thursday and how that is considered ""two day"" with prime.",prime_membership_benefit,prime_membership_benefit,Question about the promised two-day Prime delivery benefit.
70,390011,390011,Tue Oct 10 02:58:38 +0000 2017,@115850 Amazon.in is the gang of the cheater they have taken my 16k. They are eating my interest. I would highly recmnd everyone to not use this.,random_hard,payment_unexpected_charge,Complaint about a large amount being taken/charged.
71,2858191,2858191,Mon Nov 27 21:50:27 +0000 2017,Dear @AmazonHelp I have a Kohls with an operational Amazon return counter .25mile away frm me.Yet the returns page does not have an option to select that.Makes me drive to a UPS 1 mile away.#amazon #holidayshoppingwoes,return_refund,return_refund,Problem with selecting/using a return location.
72,1739103,1739103,Tue Nov 07 17:44:53 +0000 2017,@AmazonHelp I am not able to open that link may be cz of some technical problem. If possible then contact me 9560703977 between 9am to 9pm,technical_product_issue,technical_product_issue,Cannot open the provided link due to a technical problem.
73,1681783,1681783,Mon Nov 06 18:48:45 +0000 2017,"@AmazonHelp This is third time I'm am sending 
@115850  if you can't solve my problem tel here only that you can't don't kill my time again and again https://t.co/pwTcJ7SXng",random_hard,other_unclear,Repeated unresolved complaint without enough context to identify the underlying intent.
74,2265634,2265634,Sat Nov 11 04:28:05 +0000 2017,.@115850 cannot find how to cancel my order which I accidentally placed today. Cancel button missing from dashboard. Order# 171-2739240-6461133,order_cancellation_modification,order_cancellation_modification,Customer wants to cancel an order but the cancel option is missing.
75,2584214,2584214,Thu Nov 16 23:44:35 +0000 2017,"@AmazonHelp I just send in a product review for the Echo, criticising it and you've emailed me back for me to ring you to suspend my account.

WTF?",account_access,account_access,Account suspension/access issue.
76,1153724,1153724,Tue Oct 24 18:51:50 +0000 2017,@AmazonHelp I appreciate the offer but the whole problem is I cannot get into my account. I can speak on the phone after 6 pm ET or email details,account_access,account_access,Customer cannot access their account.
77,966549,966549,Sat Oct 14 04:55:36 +0000 2017,@AmazonHelp but where is my money. U are making me fool and that's not a right thing. u did not check my order process,tracking_delivery_status,return_refund,Customer is asking where their money is; order context is unclear.
78,2815491,2815491,Mon Nov 27 12:26:37 +0000 2017,"@AmazonHelp And now you've lost order # 113-5487887-4175469. Your Atlanta delivery service is incompetent. Multiple lost orders, no pictures of deliveries, never follow instructions.",random_hard,package_not_received,Order appears to have been lost/not received.
79,2877055,2877055,Tue Nov 28 06:30:38 +0000 2017,"@AmazonHelp As far as I understand no seller provides smartphone exchange to entire *Kerala*
Which is a bummer",seller_marketplace,seller_marketplace,Seller/exchange availability issue.
80,1135975,1135975,Thu Oct 19 10:49:05 +0000 2017,#amazon pessima assistenza ai venditori. Per la verifica di un account già attivo e ottimo sono passati 4 mesi e ancora nulla!!!,account_access,seller_marketplace,Seller account verification issue.
81,1687251,1687251,Mon Nov 06 18:12:10 +0000 2017,"@AmazonHelp hello, ordered COD WW2 yesterday with prime one day delivery and hasn’t arrived. Can you confirm why it’s been delayed? Thanks.",delivery_delay,delivery_delay,Prime one-day delivery has been delayed.
82,256732,256732,Thu Oct 05 18:48:43 +0000 2017,@115850 not accept #UnionBank_Rupay Debit card #LOL but they have option to pay from all #Rupaycards @AmazonHelp https://t.co/GtpVQHRrxa,payment_unexpected_charge,payment_unexpected_charge,Debit card payment is not being accepted.
83,937369,937369,Sun Oct 22 12:53:03 +0000 2017,"@AmazonHelp @115821 Plz cancel my order, apologize and accept in written tht U can't help in ths issue. 5 days, no solution, no response.",order_cancellation_modification,order_cancellation_modification,Explicit request to cancel the order.
84,1551301,1551301,Sat Nov 04 03:33:41 +0000 2017,@AmazonHelp What is this Critically Low on Storage nonsense on #FireTVStick? You made me #angry! #EpicFAIL #AmazonFail #BadCustomerService,random_hard,technical_product_issue,Fire TV Stick storage problem.
85,2885708,2885708,Tue Nov 28 11:43:56 +0000 2017,@AmazonHelp Unlimited,random_hard,other_unclear,Message contains insufficient context.
86,2216529,2216529,Fri Nov 10 07:44:53 +0000 2017,@115821 is there a problem with your .de site? It is so slow? Is it because I became Prime today? #PrimeAtLastInBelgium,prime_membership_benefit,technical_product_issue,Amazon website is reported as slow.
87,1280617,1280617,Thu Oct 26 16:53:44 +0000 2017,@115830 hi there could you link me to how I complain about a package that didn't arrive?,random_hard,package_not_received,Customer says the package did not arrive.
88,1277027,1277027,Thu Oct 26 16:58:01 +0000 2017,@AmazonHelp I have filled the details.. Please update ASAP. If I don't get order by tmrw EOD I will cancel it.. Thanks..,order_cancellation_modification,delivery_delay,Customer is waiting for an order and sets a delivery deadline.
89,446842,446842,Fri Dec 01 16:45:37 +0000 2017,"@AmazonHelp Ok, gracias por la info y felicidades por ""American Gods"", está muy buena.",random_hard,other_unclear,General appreciation with no support intent.
90,2890530,2890530,Tue Nov 28 14:25:20 +0000 2017,Great! Order xmas presents on @115830 Parcel turns up in a soaking wet and broken box. Revealing presents to whole family. Cheers for that....,damaged_defective_wrong_item,damaged_defective_wrong_item,Package arrived wet and damaged.
91,2457789,2457789,Wed Nov 15 05:18:49 +0000 2017,@115850 my order id 171-7834469-1805100. Tried to contact you guys. PAise to dedo mere atleast. You people have closed the order and i have not received any money yet. I have returned ur order. Receipt number. https://t.co/Og8Hg6JxVf,package_not_received,return_refund,Returned/closed order but customer has not received the money.
92,58159,58159,Thu Nov 02 01:08:40 +0000 2017,"@AmazonHelp Everything went wrong in last 1 year.  Every genuine concern is ignored with a Blind Eye.  Seller Support, Escalation Support all failed.",seller_marketplace,other_unclear,General support/escalation frustration without a specific underlying intent.
93,331337,331337,Sat Oct 07 18:26:33 +0000 2017,@AmazonHelp Sir i handed my order 9  but u r executive didn't help and suggest me leave Amazon app salute ur seller,seller_marketplace,other_unclear,Support complaint with insufficient context.
94,2894568,2894568,Tue Nov 28 15:45:21 +0000 2017,"@111010 pacco spedito da @120540  , consegna prevista oggi, tracking fermo da 4 giorni. A chi devo rivolgermi? Servizio scandaloso",tracking_delivery_status,tracking_delivery_status,Tracking has been frozen for several days.
95,152027,152027,Fri Nov 24 16:12:00 +0000 2017,"@AmazonHelp Oh just the usual delayed packages, then wrong items received and then after 2 hours of talking, £10 promo credit received.",delivery_delay,other_unclear,Multiple issues are mentioned without a single clear primary intent.
96,1755996,1755996,Wed Oct 18 07:06:19 +0000 2017,"@AmazonHelp Hey, I still haven't received my priority code. Need it to buy presale for Gary Barlow tickets for Belfast. What should I do? Thanks",random_hard,other_unclear,Ticket/presale priority-code issue does not fit the defined taxonomy.
97,2424504,2424504,Tue Nov 14 18:53:11 +0000 2017,@119625 Pretty lame collection. Please increase it to make it attractive and have language settings.,random_hard,other_unclear,General product/collection feedback.
98,885624,885624,Fri Oct 13 16:58:09 +0000 2017,@115830 how come my prime delivered book has taken 5 days since order and still not arrived?,delivery_delay,delivery_delay,Prime delivery is overdue.
99,24559,24559,Wed Nov 01 09:09:22 +0000 2017,How about a ‘where IS my package?’ button @AmazonHelp? £40 lost. 😡 https://t.co/SS9iH4oZFI,tracking_delivery_status,package_not_received,Customer cannot locate a package and considers it lost.
100,2342027,2342027,Mon Nov 13 14:58:46 +0000 2017,So according to the @115830 app @116324 tried to deliver my parcel today but I have been in all day and there has been no one at the door and no delivery slip posted! Where was my parcel allegedly delivered to?! Hmm... #disappointed,technical_product_issue,package_not_received,Delivery was apparently attempted/claimed but customer did not receive the parcel.
101,1373211,1373211,Sat Oct 28 00:30:18 +0000 2017,@AmazonHelp Just that it's 'delayed' . Maybe until Wednesday???? #NoMario,delivery_delay,delivery_delay,Order is explicitly marked delayed.
102,282242,282242,Fri Oct 06 09:41:44 +0000 2017,@115850 pl update the status of this tracking no 511347369519,tracking_delivery_status,tracking_delivery_status,Customer asks for an update to tracking status.
103,990943,990943,Sun Oct 22 13:20:11 +0000 2017,I don't understand why @115821 keeps a 3rd parry seller who is clearly a scammer. 10%positive reviews this year! Still have not gotten stuff,seller_marketplace,seller_marketplace,Complaint about a potentially fraudulent third-party seller.
104,39561,39561,Wed Nov 01 15:08:19 +0000 2017,@AmazonHelp isso acontece em diferentes navegadores e também no APP. Socorrr,technical_product_issue,technical_product_issue,Problem occurs across multiple browsers and the app.
105,2633216,2633216,Tue Oct 31 00:54:44 +0000 2017,"@AmazonHelp Yes, it asked me to reset the password, then I did.",account_access,account_access,Password reset/account access issue.
106,469450,469450,Fri Dec 01 06:40:27 +0000 2017,@115850 Dear Amazon Maine Prime Membership Join Kr Li Hai But Abhi Tak Prime Membership Card And Wo Keychain Nhi Mili Hai Why....I Love That Keychain.,prime_membership_benefit,prime_membership_benefit,Prime membership-related benefit issue.
107,2113552,2113552,Wed Nov 08 16:18:45 +0000 2017,"@115830 How can a parcel be out for delivery at 7.08am but then be delayed because it's at the wrong delivery centre at 7.13am? Bearing in mind it should've arrived on Monday. Anyway, Prime membership cancelled. Waste of money. https://t.co/JrHCOq0MOV",delivery_delay,delivery_delay,Main problem is delayed delivery; Prime cancellation is a consequence.
108,1766814,1766814,Tue Nov 07 22:08:19 +0000 2017,My package from @115821 came on time but the wrong item was in the box. Can't catch a break,damaged_defective_wrong_item,damaged_defective_wrong_item,Wrong item received.
109,894221,894221,Fri Oct 20 21:40:15 +0000 2017,"@AmazonHelp the £47 you randomly took out of my account still hasn’t been sorted, help?",account_access,payment_unexpected_charge,Unexpected £47 charge.
110,897619,897619,Sun Oct 22 07:49:22 +0000 2017,@AmazonHelp It a @42845 headphone so he can take it to his outstation trip.,random_hard,other_unclear,Insufficient context to identify the intent.
111,1205215,1205215,Mon Oct 16 08:06:01 +0000 2017,"@AmazonHelp Not yet, no. I have prime in Amazon France, as I live in Belgium, but linking it to @119038 for Twitch Prime isn't working.",prime_membership_benefit,prime_membership_benefit,Prime/Twitch Prime linking issue.
112,895920,895920,Sat Nov 25 10:52:31 +0000 2017,@AmazonHelp Too late i drive,delivery_delay,other_unclear,Insufficient context.
113,2212143,2212143,Fri Nov 10 15:05:10 +0000 2017,@AmazonHelp Verry verry right things sir but all support team and u and your correspond all r fake last 13 days i see and no solution.....,random_hard,other_unclear,General unresolved support complaint without a specific intent.
114,1449000,1449000,Mon Oct 16 19:41:10 +0000 2017,@AmazonHelp Es vendido por Amazon,random_hard,seller_marketplace,Seller/source context is the only discernible intent.
115,2320498,2320498,Mon Nov 13 13:11:51 +0000 2017,@115850 Received this with no invoice and seal broken. You better look into the delivery agencies you partner with and take note of their hiring process and background checks they perform on delivery guys. @115821 #Amazon #AmazonIN https://t.co/TLX9tMZndN https://t.co/hDHAXLKkWT,damaged_defective_wrong_item,damaged_defective_wrong_item,Received item with broken seal.
116,2403857,2403857,Tue Nov 14 14:14:52 +0000 2017,@115830 it would be great to be able to select a song / playlist on the Mac desktop music app and have it play through your Echo system @115833 ... Can this be done? Am I missing something?,technical_product_issue,technical_product_issue,Question about music app and Echo integration.
117,2358841,2358841,Mon Nov 13 19:30:37 +0000 2017,@115821 The discs you sent me for Walker Texas Ranger are defective. They say season 6 but the episode listing is for season 7. And even the discs have season 7 on them. And the season 7 discs have s8 eps in them! @110331 https://t.co/rTrVdh7A6B,damaged_defective_wrong_item,damaged_defective_wrong_item,Defective/mislabeled discs received.
118,311502,311502,Wed Oct 18 09:44:51 +0000 2017,@AmazonHelp I don't want my order now PLEASE REIMBURSE I cancelled the order already on 12th,order_cancellation_modification,return_refund,Cancelled order but customer wants reimbursement.
119,2456069,2456069,Wed Nov 15 03:58:11 +0000 2017,@115821 Bought IphoneSE through credit card after converting payment in emi. But now realised it has still not converted. Means your system of converting in emi doesn’t work. Will have to pay heavy interest. Help,payment_unexpected_charge,payment_unexpected_charge,Credit-card EMI conversion/payment issue.
120,2529280,2529280,Thu Nov 16 06:57:55 +0000 2017,"@AmazonHelp applied for return on 6th nov. pickup tracking Id 69725549666
Still not collected Also 
complaint to ur cust. care 4 times. But no response",tracking_delivery_status,return_refund,Return pickup has not happened.
121,2289547,2289547,Sun Nov 12 08:52:57 +0000 2017,"@AmazonHelp It said would be delivered by 8 on the 11th. At 8 pm it changed to say by the 14 th. I called and your rep said sorry, that was the way it was going to be. YOU SHOULD HAVE SAID DELIVERY WOULD BE 14TH WHEN I PLACED THE ORDER! You should always under promise and over deliver. Smh.",order_cancellation_modification,delivery_delay,Promised delivery date was pushed back.
